dataset,pipeline,signal,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id
MSL,U_aer,M-1,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,26.75457,True,61368e85-0
MSL,U_aer,M-2,0,0.0,0.0,0.0,,0,1,0,OK,26.909366,True,61368e85-0
MSL,U_aer,M-3,0,0.0,0.0,0.0,,1,1,0,OK,25.652635,True,61368e85-0
MSL,U_aer,M-4,0,0.0,0.0,0.0,,0,1,0,OK,25.673701,True,61368e85-0
MSL,U_aer,M-5,0,1.0,1.0,1.0,,0,0,1,OK,25.820992,True,61368e85-0
MSL,U_aer,M-6,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,232.736823,True,61368e85-0
MSL,U_aer,M-7,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,16.842831,True,61368e85-0
realTraffic,U_aer,occupancy_6005,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,28.047339,False,61368e85-0
realTraffic,U_aer,occupancy_t4013,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,28.04243,False,61368e85-0
MSL,U_aer,P-10,0,1.0,1.0,1.0,,0,0,1,OK,40.534448,True,61368e85-0
MSL,U_aer,P-11,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,42.545058,True,61368e85-0
MSL,U_aer,P-14,0,1.0,1.0,1.0,,0,0,1,OK,21.526942,True,61368e85-0
MSL,U_aer,P-15,0,1.0,1.0,1.0,,0,0,1,OK,39.036661,True,61368e85-0
SMAP,U_aer,P-1,0,0.0,0.0,0.0,,0,3,0,OK,39.223776,True,61368e85-0
SMAP,U_aer,P-3,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,31.430614,True,61368e85-0
SMAP,U_aer,P-4,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,30.269799,True,61368e85-0
SMAP,U_aer,P-7,0,1.0,1.0,1.0,,0,0,1,OK,37.523171,True,61368e85-0
SMAP,U_aer,R-1,0,1.0,1.0,1.0,,0,0,1,OK,25.876597,True,61368e85-0
realAWSCloudwatch,U_aer,rds_cpu_utilization_cc0c53,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,16.879196,False,61368e85-0
realAWSCloudwatch,U_aer,rds_cpu_utilization_e47b3b,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,22.507184,False,61368e85-0
YAHOOA1,U_aer,real_10,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,19.458768,False,61368e85-0
YAHOOA1,U_aer,real_11,0,1.0,1.0,1.0,,0,0,1,OK,16.245045,False,61368e85-0
YAHOOA1,U_aer,real_12,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,16.456332,False,61368e85-0
YAHOOA1,U_aer,real_13,0,1.0,1.0,1.0,,0,0,3,OK,19.423362,False,61368e85-0
YAHOOA1,U_aer,real_14,0,0.4,1.0,0.25,,3,0,1,OK,18.650135,False,61368e85-0
YAHOOA1,U_aer,real_15,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,19.676898,False,61368e85-0
YAHOOA1,U_aer,real_16,0,1.0,1.0,1.0,,0,0,1,OK,17.544476,False,61368e85-0
YAHOOA1,U_aer,real_17,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,19.457837,False,61368e85-0
YAHOOA1,U_aer,real_18,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,19.854118,False,61368e85-0
YAHOOA1,U_aer,real_19,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,19.494558,False,61368e85-0
YAHOOA1,U_aer,real_1,0,1.0,1.0,1.0,,0,0,2,OK,15.801307,False,61368e85-0
YAHOOA1,U_aer,real_20,0,0.5714285714285715,0.6666666666666666,0.5,,2,1,2,OK,19.936168,False,61368e85-0
YAHOOA1,U_aer,real_21,0,1.0,1.0,1.0,,0,0,2,OK,15.140396,False,61368e85-0
YAHOOA1,U_aer,real_22,0,0.4,1.0,0.25,,3,0,1,OK,14.346554,False,61368e85-0
YAHOOA1,U_aer,real_23,0,0.9600000000000001,1.0,0.9230769230769231,,1,0,12,OK,19.651682,False,61368e85-0
YAHOOA1,U_aer,real_24,0,1.0,1.0,1.0,,0,0,3,OK,18.22831,False,61368e85-0
YAHOOA1,U_aer,real_25,0,0.0,0.0,0.0,,1,1,0,OK,14.710423,False,61368e85-0
YAHOOA1,U_aer,real_26,0,0.0,0.0,0.0,,1,5,0,OK,15.432174,False,61368e85-0
